collection_name,eval_noise_level,eval_complexity,log_size,log_name,calc_drift_id,calc_process_change_id,calc_change_id,calc_change_index,calc_change_moment,calc_change_type,calc_drift_type,config_method,config_constant_alpha,config_similarity,config_incremental,config_recurring,config_steps
,,,,KA25_35_40_S,1,1,1,1452,2021-10-21 07:01:02.640514,sudden,incremental,,,,,,
,,,,KA25_35_40_S,1,2,2,2862,2023-07-25 09:14:16.850315,gradual_start,incremental,,,,,,
,,,,KA25_35_40_S,1,2,3,3554,2024-06-11 11:57:05.577106,gradual_end,incremental,,,,,,
,,,,KA25_35_40_S,1,3,4,4954,2026-03-01 18:16:19.649250,sudden,incremental,,,,,,
,,,,KA25_35_40_S,2,1,5,6341,2027-12-03 11:30:50.323164,gradual_start,incremental,,,,,,
,,,,KA25_35_40_S,2,1,6,7205,2029-01-27 19:51:14.038729,gradual_end,incremental,,,,,,
,,,,KA25_35_40_S,2,2,7,8282,2030-06-04 10:36:18.139973,gradual_start,incremental,,,,,,
,,,,KA25_35_40_S,2,2,8,8926,2031-03-26 19:39:16.515002,gradual_end,incremental,,,,,,
,,,,KA25_35_40_S,2,3,9,10355,2033-01-08 07:06:56.846103,gradual_start,incremental,,,,,,
,,,,KA25_35_40_S,2,3,10,11253,2034-03-28 15:15:10.854756,gradual_end,incremental,,,,,,
,,,,KA25_35_40_S,3,1,11,12328,2035-07-30 23:07:45.424755,gradual_start,gradual,,,,,,
,,,,KA25_35_40_S,3,1,12,13284,2036-09-23 08:41:04.149390,gradual_end,gradual,,,,,,
